ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Tursunov D.,Bjorkman J.,24,41,1120,801,7,6,3,6,6,1,,,,,2,1,Completed,1.28,3.5,1.3,3.4,1.28,3.46,1.293,4.11,1.25,3.8
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Hrbaty D.,19,25,1325,1098,3,6,6,1,6,4,,,,,2,1,Completed,1.16,4.5,1.33,3.3,1.2,4.25,1.195,5.64,1.16,5
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Almagro N.,Henman T.,40,50,805,720,7,5,6,1,,,,,,,2,0,Completed,1.12,5.5,1.14,5.4,1.13,5.5,1.172,6.31,1.18,4.6
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Acasuso J.,Verkerk M.,36,892,845,11,6,3,7,5,,,,,,,2,0,Completed,1.05,8.5,1.06,8.5,1.07,7.19,1.1,9,1.05,9
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Hernandez O.,Hewitt L.,79,20,511,1250,3,6,7,6,6,1,,,,,2,1,Completed,2,1.72,4,1.25,1.87,1.87,2.08,1.847,1.94,1.82
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Simon G.,Murray A.,58,10,615,2120,6,1,1,6,6,3,,,,,2,1,Completed,3,1.36,3,1.37,2.67,1.44,3.34,1.394,3,1.37
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Canas G.,Melzer J.,21,32,1217,900,7,5,6,2,,,,,,,2,0,Completed,1.16,4.5,1.16,5,1.21,4.06,1.218,5.18,1.2,4.3
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Soderling R.,Becker B.,27,43,1053,764,6,3,6,3,,,,,,,2,0,Completed,1.25,3.75,1.28,3.55,1.3,3.35,1.282,4.24,1.27,3.6
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Starace P.,Calleri A.,63,28,599,1035,6,3,6,1,,,,,,,2,0,Completed,2,1.72,1.1,7,1.9,1.85,1.935,1.971,1.98,1.79
28,Rome,Internazionali BNL d'Italia,07/05/07,Masters,Outdoor,Clay,1st Round,3,Bracciali D.,Ginepri R.,125,45,342,750,7,5,7,6,,,,,,,2,0,Completed,1.72,2,1.7,2.1,1.73,2.03,1.735,2.26,1.77,2
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Baghdatis M.,Moya C.,18,34,1335,860,6,2,6,3,,,,,,,2,0,Completed,2.75,1.39,2.7,1.45,2.6,1.45,2.76,1.538,2.72,1.44
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Stepanek R.,Haas T.,29,11,995,2100,6,3,3,2,,,,,,,1,0,Retired,2.37,1.53,2.3,1.6,2.3,1.6,2.27,1.73,2.15,1.67
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Berdych T.,Nieminen J.,12,22,1940,1200,6,4,7,5,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.35,3.1,1.352,3.64,1.33,3.2
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Montanes A.,Wawrinka S.,57,48,638,740,3,6,6,1,7,6,,,,,2,1,Completed,1.36,3,,,1.35,3.1,1.403,3.28,1.33,3.2
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Safin M.,Delic A.,26,72,1065,550,2,6,6,3,6,4,,,,,2,1,Completed,1.28,3.5,1.33,3.2,1.28,3.46,1.328,3.75,1.32,3.3
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Rochus O.,Llodra M.,52,90,700,470,5,7,6,3,6,3,,,,,2,1,Completed,1.5,2.5,1.48,2.6,1.57,2.31,1.633,2.48,1.55,2.38
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Youzhny M.,Benneteau J.,16,38,1645,837,6,1,3,6,6,2,,,,,2,1,Completed,1.28,3.5,1.35,3.1,1.3,3.35,1.312,3.91,1.27,3.6
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,Fish M.,71,30,550,930,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,,,1.7,2.1,1.8,2.15,1.75,2.03
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Blake J.,Monfils G.,9,49,2150,735,7,6,6,3,,,,,,,2,0,Completed,1.44,2.62,1.45,2.7,1.45,2.6,1.549,2.72,1.45,2.65
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Gasquet R.,Verdasco F.,13,35,1835,845,6,1,7,5,,,,,,,2,0,Completed,1.36,3,1.4,2.85,1.45,2.6,1.485,2.86,1.5,2.52
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Volandri F.,Gabashvili T.,53,74,682,533,6,0,6,3,,,,,,,2,0,Completed,1.16,4.5,1.25,3.85,1.23,3.89,1.219,5.16,1.27,3.6
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Andreev I.,Ferrer D.,177,15,230,1725,6,4,6,1,,,,,,,2,0,Completed,3,1.36,2.85,1.4,2.75,1.42,3.26,1.407,2.85,1.4
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Chela J.I.,Gicquel M.,23,39,1125,807,2,6,6,4,6,1,,,,,2,1,Completed,1.28,3.5,1.35,3.1,1.35,3.1,1.351,3.65,1.3,3.4
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,1st Round,3,Massu N.,Bolelli S.,59,76,615,528,6,3,7,6,,,,,,,2,0,Completed,1.66,2.1,1.6,2.3,1.8,1.95,1.833,2.1,1.72,2.06
28,Rome,Internazionali BNL d'Italia,08/05/07,Masters,Outdoor,Clay,2nd Round,3,Federer R.,Almagro N.,1,40,7290,805,6,3,6,4,,,,,,,2,0,Completed,1.07,7.5,1.08,7.25,1.13,5.5,1.143,7.3,1.12,6.25
