ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
19,Indian Wells,BNP Paribas Open,12/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Kunitsyn I.,Spadea V.,37,111,1540,789,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.54,2.51,1.533,2.375,1.533,2.375,1.54,2.42
19,Indian Wells,BNP Paribas Open,12/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Montanes A.,Serra F.,35,50,1569,1289,6,3,6,0,,,,,,,2,0,Completed,4.5,1.16,5.05,1.17,4.333,1.2,4,1.2,4.5,1.19
19,Indian Wells,BNP Paribas Open,12/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Benneteau J.,36,44,1550,1422,6,3,6,2,,,,,,,2,0,Completed,1.4,2.75,1.38,3.05,1.444,2.625,1.444,2.625,1.42,2.78
19,Indian Wells,BNP Paribas Open,12/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Nieminen J.,Devilder N.,57,62,1210,1154,7,6,6,1,,,,,,,2,0,Completed,1.22,4,1.27,3.81,1.286,3.5,1.286,3.25,1.26,3.7
19,Indian Wells,BNP Paribas Open,12/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Gicquel M.,Bolelli S.,52,40,1248,1506,7,5,6,3,,,,,,,2,0,Completed,2.62,1.44,2.66,1.48,2.25,1.571,2.375,1.533,2.46,1.52
19,Indian Wells,BNP Paribas Open,12/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Llodra M.,Lopez F.,90,34,915,1575,6,4,6,3,,,,,,,2,0,Completed,2.2,1.61,2.16,1.7,2,1.72,2.1,1.667,2.1,1.7
19,Indian Wells,BNP Paribas Open,12/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Hewitt L.,Hernych J.,77,63,1005,1107,7,6,6,3,,,,,,,2,0,Completed,1.36,3,1.49,2.65,1.444,2.625,1.4,2.75,1.5,2.52
19,Indian Wells,BNP Paribas Open,12/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Starace P.,Gremelmayr D.,73,100,1013,872,7,6,6,1,,,,,,,2,0,Completed,2.37,1.53,2.32,1.61,2.25,1.571,2.25,1.571,2.38,1.55
19,Indian Wells,BNP Paribas Open,13/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Stakhovsky S.,Evans B.,124,152,705,535,2,6,6,3,6,0,,,,,2,1,Completed,1.53,2.37,1.5,2.65,1.571,2.25,1.571,2.25,1.57,2.34
19,Indian Wells,BNP Paribas Open,13/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Gulbis E.,Kim K.,43,106,1438,813,6,3,6,4,,,,,,,2,0,Completed,1.167,4.5,1.24,4.11,1.167,4.5,1.17,4.5,1.25,3.8
